date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2020-01-02,6235,118796,1601201,13.55,13.55,13.4,13.45,-0.1,78
2020-01-03,6235,234227,3136246,13.5,13.5,13.3,13.3,-0.15,129
2020-01-06,6235,238337,3181467,13.35,13.45,13.25,13.25,-0.05,117
2020-01-07,6235,338000,4525750,13.4,13.5,13.25,13.25,0.0,110
2020-01-08,6235,205246,2729120,13.25,13.4,13.25,13.3,0.05,75
2020-01-09,6235,200167,2670477,13.4,13.5,13.25,13.35,0.05,68
2020-01-10,6235,229404,3087660,13.3,13.55,13.3,13.5,0.15,106
2020-01-13,6235,114015,1542299,13.55,13.6,13.5,13.5,0.0,74
2020-01-14,6235,140002,1877926,13.5,13.55,13.3,13.4,-0.1,83
2020-01-15,6235,112086,1494743,13.4,13.55,13.25,13.35,-0.05,67
2020-01-16,6235,158129,2105476,13.35,13.45,13.25,13.3,-0.05,63
2020-01-17,6235,151506,2014853,13.3,13.4,13.25,13.25,-0.05,65
2020-01-20,6235,81666,1088205,13.25,13.4,13.25,13.4,0.15,62
2020-01-30,6235,546093,6724796,12.9,12.9,12.15,12.15,-1.25,253
2020-01-31,6235,262007,3165884,12.15,12.35,12.0,12.15,0.0,112
2020-02-03,6235,785918,8745098,11.6,11.7,10.95,11.0,-1.15,339
2020-02-04,6235,364330,4079344,10.95,11.45,10.95,11.25,0.25,134
2020-02-05,6235,220200,2467889,11.3,11.3,11.1,11.25,0.0,111
2020-02-06,6235,275236,3123612,11.1,11.5,11.1,11.4,0.15,133
2020-02-07,6235,283001,3191257,11.4,11.45,11.2,11.45,0.05,137
2020-02-10,6235,188005,2142155,11.4,11.45,11.3,11.35,-0.1,66
2020-02-11,6235,246007,2846334,11.4,11.65,11.35,11.6,0.25,99
2020-02-12,6235,309070,3696224,11.7,12.1,11.7,11.9,0.3,149
2020-02-13,6235,211501,2531528,12.0,12.1,11.9,12.0,0.1,87
2020-02-14,6235,81012,981756,12.0,12.3,12.0,12.05,0.05,73
2020-02-17,6235,33002,395876,12.0,12.05,11.95,11.95,-0.1,28
2020-02-18,6235,60500,726200,11.95,12.1,11.95,12.0,0.05,68
2020-02-19,6235,36013,433056,12.0,12.1,12.0,12.0,0.0,36
2020-02-20,6235,53406,642372,12.1,12.15,11.95,12.0,0.0,43
2020-02-21,6235,41011,492082,12.1,12.1,11.9,12.0,0.0,30
2020-02-24,6235,94022,1113345,12.15,12.15,11.8,11.8,-0.2,74
2020-02-25,6235,133000,1548150,11.6,11.8,11.35,11.7,-0.1,66
2020-02-26,6235,4970875,60115635,11.7,12.3,11.5,12.2,0.5,874
2020-02-27,6235,400500,4766135,12.1,12.15,11.75,11.8,-0.4,212
2020-03-02,6235,342406,3907755,11.55,11.55,11.25,11.3,-0.5,236
2020-03-03,6235,247516,2816623,11.5,11.5,11.3,11.35,0.05,134
2020-03-04,6235,96526,1092781,11.4,11.4,11.3,11.35,0.0,101
2020-03-05,6235,143752,1645263,11.35,11.55,11.3,11.5,0.15,110
2020-03-06,6235,114202,1296622,11.35,11.45,11.3,11.4,-0.1,104
2020-03-09,6235,326520,3614670,11.3,11.3,10.9,11.0,-0.4,166
2020-03-10,6235,378278,4048107,10.7,10.9,10.55,10.8,-0.2,148
2020-03-11,6235,172008,1887430,10.9,11.1,10.8,10.8,0.0,90
2020-03-12,6235,835256,8367972,10.7,10.7,9.72,9.95,-0.85,359
2020-03-13,6235,1029200,9243492,8.97,9.25,8.96,9.25,-0.7,382
2020-03-16,6235,545537,4792208,9.25,9.25,8.33,8.41,-0.84,263
2020-03-17,6235,651841,5254140,7.62,8.47,7.61,7.96,-0.45,261
2020-03-18,6235,469561,3757188,7.96,8.34,7.9,7.95,-0.01,235
2020-03-19,6235,567908,4105470,7.66,7.77,7.16,7.16,-0.79,286
2020-03-20,6235,423121,3120713,7.16,7.55,7.16,7.45,0.29,228
2020-03-23,6235,290007,2009892,6.8,7.24,6.71,6.93,-0.52,123
2020-03-24,6235,321328,2349118,6.94,7.47,6.94,7.2,0.27,125
2020-03-25,6235,527580,3963028,7.66,7.66,7.36,7.41,0.21,217
2020-03-26,6235,389500,2921321,7.42,7.63,7.34,7.59,0.18,117
2020-03-27,6235,795111,6595126,7.88,8.34,7.88,8.34,0.75,322
2020-03-30,6235,327312,2532644,7.64,7.94,7.56,7.92,-0.42,226
2020-03-31,6235,305012,2403594,7.89,8.19,7.63,7.63,-0.29,163
2020-04-01,6235,180025,1367618,7.62,7.71,7.54,7.69,0.06,122
2020-04-06,6235,80016,615282,7.69,7.81,7.57,7.79,0.1,61
2020-04-07,6235,299638,2458097,8.1,8.35,8.05,8.31,0.52,177
2020-04-08,6235,325225,2848334,8.33,9.01,8.31,9.0,0.69,165
2020-04-09,6235,392555,3545023,9.0,9.37,8.77,8.8,-0.2,196
2020-04-10,6235,189528,1661402,8.62,8.98,8.62,8.97,0.17,88
2020-04-13,6235,181377,1620202,8.97,9.2,8.8,8.87,-0.1,129
2020-04-14,6235,170038,1553012,9.0,9.18,9.0,9.16,0.29,116
2020-04-15,6235,501150,4823657,9.19,9.8,9.19,9.67,0.51,215
2020-04-16,6235,1366614,14486106,10.6,10.6,10.6,10.6,0.93,251
2020-04-17,6235,1927667,21112698,11.0,11.5,10.45,10.6,0.0,776
2020-04-20,6235,543779,5817419,10.5,11.0,10.4,11.0,0.4,243
2020-04-21,6235,387002,4113470,10.95,10.95,10.4,10.45,-0.55,215
2020-04-22,6235,321009,3306640,10.1,10.5,10.1,10.4,-0.05,139
2020-04-23,6235,172009,1806241,10.5,10.7,10.35,10.5,0.1,100
2020-04-24,6235,663020,7025417,10.6,10.9,10.25,10.9,0.4,249
2020-04-27,6235,554011,6056716,10.9,11.1,10.55,10.9,0.0,235
2020-04-28,6235,233501,2535634,11.0,11.05,10.8,10.8,-0.1,119
