date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2020-01-02,6443,3187793,24788558,7.74,7.94,7.64,7.82,0.22,941
2020-01-03,6443,2248035,17496008,7.85,7.88,7.7,7.71,-0.11,578
2020-01-06,6443,1110672,8483515,7.75,7.75,7.59,7.62,-0.09,354
2020-01-07,6443,1314468,9953568,7.62,7.66,7.52,7.53,-0.09,389
2020-01-08,6443,1234349,9350523,7.5,7.64,7.48,7.53,0.0,387
2020-01-09,6443,606719,4569513,7.53,7.58,7.51,7.52,-0.01,251
2020-01-10,6443,742433,5617991,7.59,7.6,7.53,7.55,0.03,262
2020-01-13,6443,2507936,19368192,7.77,7.8,7.68,7.69,0.14,653
2020-01-14,6443,1510036,11614455,7.73,7.73,7.65,7.72,0.03,458
2020-01-15,6443,1490450,11556755,7.74,7.78,7.7,7.76,0.04,564
2020-01-16,6443,3144312,24680350,7.78,7.94,7.77,7.89,0.13,785
2020-01-17,6443,1701425,13320954,7.9,7.91,7.79,7.8,-0.09,466
2020-01-20,6443,1722971,13535394,7.84,7.9,7.8,7.88,0.08,452
2020-01-30,6443,4432523,32307688,7.41,7.52,7.14,7.26,-0.62,1082
2020-01-31,6443,1748246,12707993,7.26,7.36,7.16,7.27,0.01,456
2020-02-03,6443,2519587,17593167,7.1,7.1,6.88,7.08,-0.19,624
2020-02-04,6443,1270248,9105401,7.1,7.24,7.1,7.24,0.16,346
2020-02-05,6443,830590,5995066,7.2,7.25,7.18,7.2,-0.04,262
2020-02-06,6443,1150227,8351146,7.28,7.3,7.23,7.25,0.05,325
2020-02-07,6443,1534887,11030126,7.25,7.28,7.15,7.28,0.03,412
2020-02-10,6443,3636980,26914389,7.24,7.53,7.18,7.44,0.16,982
2020-02-11,6443,1248546,9235368,7.35,7.44,7.35,7.37,-0.07,398
2020-02-12,6443,1039626,7706114,7.4,7.45,7.36,7.4,0.03,347
2020-02-13,6443,2640392,19909512,7.4,7.65,7.4,7.44,0.04,767
2020-02-14,6443,1354960,10225362,7.46,7.63,7.45,7.54,0.1,535
2020-02-17,6443,4051915,31310403,7.54,7.82,7.46,7.8,0.26,1204
2020-02-18,6443,2161020,16829210,7.82,7.87,7.73,7.73,-0.07,619
2020-02-19,6443,1203817,9291569,7.75,7.82,7.65,7.68,-0.05,502
2020-02-20,6443,1350916,10365593,7.73,7.76,7.64,7.66,-0.02,446
2020-02-21,6443,1327905,10054398,7.7,7.7,7.51,7.51,-0.15,435
