date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2020-01-07,2718,15000,300050,20.0,20.05,20.0,20.0,0.0,4
2020-01-08,2718,23000,459950,19.95,20.0,19.95,20.0,0.0,5
2020-01-09,2718,53000,1060100,20.0,20.1,20.0,20.1,0.1,6
2020-01-13,2718,3000,60000,20.0,20.0,20.0,20.0,-0.1,1
2020-01-14,2718,35000,700000,20.0,20.0,20.0,20.0,0.0,7
2020-01-15,2718,11000,220150,20.15,20.15,20.0,20.0,0.0,2
2020-01-16,2718,18000,359550,19.95,20.0,19.95,20.0,0.0,9
2020-01-20,2718,35000,700000,20.0,20.0,20.0,20.0,0.0,6
2020-01-30,2718,31000,601900,19.1,19.5,19.1,19.5,-0.5,11
2020-01-31,2718,118000,2301850,19.95,19.95,19.5,19.5,0.0,23
2020-02-04,2718,15000,290000,19.4,19.4,19.3,19.3,-0.2,4
2020-02-06,2718,5000,95000,19.0,19.0,19.0,19.0,0.0,4
2020-02-07,2718,34000,615800,18.55,18.55,18.0,18.0,-1.0,16
2020-02-10,2718,36000,640400,17.9,17.95,17.3,17.85,-0.15,11
2020-02-11,2718,119000,2134900,17.95,17.95,17.4,17.95,0.1,21
2020-02-12,2718,4000,71950,17.95,18.05,17.95,18.05,0.1,4
2020-02-14,2718,9000,160100,17.6,17.9,17.6,17.9,-0.15,5
2020-02-17,2718,7000,120350,17.35,17.35,17.0,17.0,-0.9,5
2020-02-18,2718,3000,52450,17.3,17.9,17.25,17.25,0.25,3
2020-02-20,2718,6000,106350,17.55,17.8,17.55,17.8,0.5,6
2020-02-21,2718,1000,18700,18.7,18.7,18.7,18.7,0.9,1
2020-02-24,2718,5000,94100,20.05,20.05,18.3,18.8,0.1,5
2020-02-25,2718,1000,18650,18.65,18.65,18.65,18.65,-0.15,1
2020-02-26,2718,2000,35650,17.85,17.85,17.8,17.8,-0.85,2
2020-02-27,2718,9000,159200,18.65,18.65,17.5,17.5,-0.3,6
2020-03-04,2718,58000,1011350,17.15,17.5,17.15,17.5,0.0,7
2020-03-05,2718,2000,35200,17.75,17.75,17.45,17.45,-0.05,2
2020-03-06,2718,5000,87500,17.5,17.5,17.5,17.5,0.05,1
