date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2020-01-02,9908,103278,3246426,31.3,31.5,31.3,31.45,0.15,80
2020-01-03,9908,108644,3428395,31.7,31.7,31.4,31.6,0.15,83
2020-01-06,9908,170238,5421458,31.6,32.2,31.55,31.8,0.2,164
2020-01-07,9908,91395,2898120,32.15,32.15,31.45,31.55,-0.25,70
2020-01-08,9908,66000,2086650,31.55,31.8,31.4,31.6,0.05,52
2020-01-09,9908,58000,1830800,31.5,31.6,31.5,31.6,0.0,28
2020-01-10,9908,41177,1308973,31.6,31.85,31.6,31.75,0.15,41
2020-01-13,9908,47056,1494952,31.75,31.8,31.75,31.8,0.05,29
2020-01-14,9908,48474,1544968,31.85,32.0,31.8,31.95,0.15,45
2020-01-15,9908,55083,1758956,32.0,32.05,31.9,31.9,-0.05,37
2020-01-16,9908,45792,1448917,31.6,31.9,31.5,31.85,-0.05,41
2020-01-17,9908,44564,1417362,31.85,31.9,31.65,31.85,0.0,41
2020-01-20,9908,27675,882376,31.95,31.95,31.85,31.9,0.05,35
2020-01-30,9908,351878,11021705,31.8,31.8,31.2,31.25,-0.65,214
2020-01-31,9908,88184,2769872,31.35,31.5,31.35,31.5,0.25,72
2020-02-03,9908,248060,7730168,31.2,31.3,31.0,31.25,-0.25,119
2020-02-04,9908,70147,2197852,31.25,31.35,31.25,31.35,0.1,70
2020-02-05,9908,96530,3041195,31.45,31.6,31.4,31.55,0.2,85
2020-02-06,9908,92934,2948647,31.6,31.85,31.6,31.85,0.3,78
2020-02-07,9908,136630,4353575,31.9,31.95,31.85,31.85,0.0,109
2020-02-10,9908,123306,3911521,31.75,31.75,31.65,31.65,-0.2,88
2020-02-11,9908,72064,2285998,31.95,31.95,31.65,31.7,0.05,48
2020-02-12,9908,52379,1664487,31.8,31.85,31.75,31.75,0.05,51
2020-02-13,9908,62057,1974678,31.85,31.9,31.8,31.85,0.1,54
2020-02-14,9908,66584,2124738,31.85,32.0,31.85,31.85,0.0,61
2020-02-17,9908,58291,1857188,31.9,31.95,31.8,31.9,0.05,57
2020-02-18,9908,196028,6249446,31.9,32.0,31.8,32.0,0.1,63
2020-02-19,9908,68660,2197170,32.0,32.15,31.9,32.0,0.0,65
2020-02-20,9908,115703,3699372,31.95,32.05,31.9,32.05,0.05,82
2020-02-21,9908,103989,3335496,32.0,32.15,31.9,32.1,0.05,70
2020-02-24,9908,341385,10870297,31.8,32.0,31.75,31.75,-0.35,140
2020-02-25,9908,124354,3949239,31.7,31.85,31.7,31.8,0.05,76
2020-02-26,9908,134020,4262838,31.7,32.0,31.7,31.8,0.0,65
2020-02-27,9908,90480,2872034,31.7,31.9,31.7,31.85,0.05,72
2020-03-02,9908,301609,9589944,31.85,31.85,31.7,31.7,-0.15,139
2020-03-03,9908,99743,3165975,31.7,31.9,31.7,31.7,0.0,95
2020-03-04,9908,51140,1624586,31.7,31.95,31.7,31.9,0.2,53
2020-03-05,9908,99318,3163776,31.9,32.0,31.8,31.9,0.0,76
2020-03-06,9908,70135,2225854,31.7,31.9,31.7,31.8,-0.1,65
2020-03-09,9908,235000,7453650,31.9,31.9,31.55,31.6,-0.2,119
2020-03-10,9908,260312,8163104,31.5,31.55,31.15,31.55,-0.05,176
2020-03-11,9908,203040,6382448,31.55,31.6,31.15,31.45,-0.1,148
2020-03-12,9908,620841,19081900,31.4,31.4,30.0,30.35,-1.1,302
2020-03-13,9908,1013805,29333633,28.25,29.5,28.25,29.5,-0.85,449
2020-03-16,9908,679177,19730934,29.2,29.25,28.75,29.0,-0.5,286
2020-03-17,9908,738423,20879376,28.4,28.7,28.0,28.15,-0.85,336
2020-03-18,9908,412410,11636668,28.0,28.55,27.75,28.4,0.25,266
2020-03-19,9908,777526,21144720,27.25,27.5,27.05,27.1,-1.3,415
2020-03-20,9908,384481,10710718,27.2,28.15,27.2,28.15,1.05,244
2020-03-23,9908,497862,13429595,26.05,27.4,26.05,27.1,-1.05,186
2020-03-24,9908,203576,5641919,27.35,28.05,27.35,27.6,0.5,111
2020-03-25,9908,221000,6276850,28.2,28.7,28.2,28.3,0.7,127
2020-03-26,9908,178516,5050852,28.35,28.5,28.1,28.2,-0.1,134
2020-03-27,9908,267151,7625230,28.3,28.9,28.3,28.75,0.55,145
2020-03-30,9908,120022,3432095,28.6,28.9,28.5,28.75,0.0,85
