date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2020-01-02,2031,2348512,75069450,31.7,32.2,31.65,31.7,0.2,1050
2020-01-03,2031,1761201,55464239,31.8,31.9,31.25,31.6,-0.1,767
2020-01-06,2031,1013948,31740621,31.6,31.6,31.05,31.3,-0.3,490
2020-01-07,2031,908501,28334031,31.3,31.55,30.9,31.2,-0.1,478
2020-01-08,2031,1235032,37815130,31.0,31.0,30.3,30.45,-0.75,557
2020-01-09,2031,834300,25784814,30.75,31.1,30.75,30.9,0.45,358
2020-01-10,2031,1488104,46787672,31.6,31.75,31.25,31.35,0.45,694
2020-01-13,2031,6314393,206330958,32.5,33.1,32.1,32.1,0.75,2932
2020-01-14,2031,2063305,67134156,32.35,32.75,32.3,32.5,0.4,1085
2020-01-15,2031,1314650,42595177,32.6,32.7,32.1,32.4,-0.1,832
2020-01-16,2031,1484013,48652716,32.5,33.0,32.3,32.8,0.4,768
2020-01-17,2031,779516,25474766,32.85,32.9,32.55,32.65,-0.15,412
2020-01-20,2031,983256,32078137,32.65,32.8,32.5,32.65,0.0,493
2020-01-30,2031,2389760,73594325,31.0,31.4,30.1,30.5,-2.15,1147
2020-01-31,2031,2607706,81102692,30.1,31.8,30.1,31.7,1.2,1385
2020-02-03,2031,1977201,61032794,31.0,31.45,30.1,31.15,-0.55,1160
2020-02-04,2031,1104186,34219866,31.2,31.4,30.75,30.9,-0.25,650
2020-02-05,2031,1065320,32647158,31.1,31.1,30.3,30.45,-0.45,616
2020-02-06,2031,653781,19934764,30.65,30.75,30.35,30.5,0.05,410
2020-02-07,2031,1302802,38994095,30.4,30.4,29.55,29.55,-0.95,768
2020-02-10,2031,1134830,32779369,29.2,29.2,28.6,28.8,-0.75,629
2020-02-11,2031,591125,17240321,28.95,29.3,28.85,29.3,0.5,350
2020-02-12,2031,972960,28420003,29.4,29.4,29.0,29.3,0.0,482
2020-02-13,2031,574550,16859163,29.3,29.45,29.2,29.2,-0.1,371
2020-02-14,2031,560247,16507353,29.3,29.7,29.15,29.5,0.3,332
2020-02-17,2031,467669,13746525,29.6,29.6,29.2,29.35,-0.15,314
2020-02-18,2031,639903,19043043,29.3,29.95,29.3,29.95,0.6,348
2020-02-19,2031,529742,15939891,29.95,30.35,29.75,30.15,0.2,313
2020-02-20,2031,311595,9398916,30.2,30.25,30.0,30.2,0.05,254
2020-02-21,2031,384029,11596820,30.2,30.4,30.05,30.2,0.0,274
2020-02-24,2031,392319,11720090,30.15,30.15,29.7,29.7,-0.5,268
2020-02-25,2031,491926,14479862,29.2,29.75,29.2,29.5,-0.2,272
2020-02-26,2031,868120,25955971,29.5,30.2,29.2,29.9,0.4,421
2020-02-27,2031,976192,29061310,30.4,30.4,29.2,29.25,-0.65,482
2020-03-02,2031,1293349,37657405,28.95,29.55,28.5,28.8,-0.45,623
2020-03-03,2031,498089,14622694,29.3,29.6,29.2,29.2,0.4,260
2020-03-04,2031,566465,16406078,29.2,29.4,28.85,29.1,-0.1,271
2020-03-05,2031,359324,10465140,29.3,29.3,29.05,29.15,0.05,225
2020-03-06,2031,509009,14846370,29.2,29.45,29.05,29.05,-0.1,291
2020-03-09,2031,1326403,37720755,29.0,29.0,28.2,28.2,-0.85,671
2020-03-10,2031,1070013,29764377,27.8,28.2,27.5,28.1,-0.1,579
2020-03-11,2031,818629,23123162,28.6,28.6,27.9,28.2,0.1,471
2020-03-12,2031,1894550,51013572,28.0,28.0,26.35,26.7,-1.5,842
2020-03-13,2031,3965364,95661288,24.2,24.55,24.05,24.1,-2.6,1419
2020-03-16,2031,1749310,41381543,24.3,24.35,23.2,23.2,-0.9,794
2020-03-17,2031,4473910,94251199,20.95,21.85,20.9,20.9,-2.3,1730
2020-03-18,2031,3476868,69542278,20.9,21.1,18.9,19.0,-1.9,1607
2020-03-19,2031,5755643,99420491,18.0,18.0,17.1,17.15,-1.85,1841
2020-03-20,2031,1206026,22520188,18.0,18.85,18.0,18.85,1.7,484
2020-03-23,2031,2285400,43622424,18.7,19.85,17.85,19.7,0.85,1115
2020-03-24,2031,2313553,47766463,19.8,21.2,19.8,20.9,1.2,1199
2020-03-25,2031,1850628,40140182,21.5,22.2,21.3,21.75,0.85,949
2020-03-26,2031,1272505,27121216,21.75,21.75,20.8,21.6,-0.15,717
2020-03-27,2031,1742248,37132787,21.8,22.1,20.8,20.8,-0.8,803
2020-03-30,2031,1607079,33586608,20.4,21.3,20.35,21.25,0.45,721
2020-03-31,2031,825131,17708913,21.6,21.65,21.25,21.45,0.2,465
2020-04-01,2031,546425,11753898,21.5,21.7,21.35,21.55,0.1,420
2020-04-06,2031,693099,14769288,21.8,21.8,21.0,21.35,-0.2,471
2020-04-07,2031,1041119,22442115,21.65,21.8,21.4,21.45,0.1,440
2020-04-08,2031,1297651,28564624,21.6,22.3,21.55,22.3,0.85,805
2020-04-09,2031,1075112,24051041,22.45,22.8,22.1,22.1,-0.2,571
2020-04-10,2031,590754,13123554,21.9,22.45,21.9,22.45,0.35,364
2020-04-13,2031,778305,17252355,22.55,22.55,21.85,22.15,-0.3,552
2020-04-14,2031,618052,13857029,22.15,22.65,22.15,22.5,0.35,284
2020-04-15,2031,1023017,23528564,22.7,23.2,22.65,23.2,0.7,572
2020-04-16,2031,653491,15050011,22.9,23.4,22.7,23.35,0.15,326
2020-04-17,2031,1010766,23717593,23.55,23.85,23.2,23.2,-0.15,553
2020-04-20,2031,328017,7630989,23.2,23.5,23.0,23.4,0.2,205
2020-04-21,2031,762940,17216203,23.1,23.3,22.25,22.4,-1.0,447
2020-04-22,2031,536031,11836438,22.4,22.5,21.65,22.35,-0.05,270
2020-04-23,2031,513440,11560711,22.45,22.75,22.35,22.45,0.1,284
2020-04-24,2031,1075854,23866214,22.3,22.7,22.0,22.0,-0.45,438
