date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2020-01-02,1802,1577838,17910957,11.4,11.45,11.3,11.4,0.0,555
2020-01-03,1802,1205895,13733648,11.4,11.45,11.35,11.4,0.0,497
2020-01-06,1802,1815465,20545321,11.4,11.45,11.25,11.35,-0.05,575
2020-01-07,1802,1012998,11447621,11.35,11.35,11.25,11.25,-0.1,385
2020-01-08,1802,935151,10518488,11.25,11.3,11.2,11.2,-0.05,414
2020-01-09,1802,907686,10233426,11.25,11.35,11.2,11.25,0.05,243
2020-01-10,1802,813820,9230605,11.3,11.4,11.25,11.4,0.15,297
2020-01-13,1802,626403,7096199,11.3,11.35,11.3,11.35,-0.05,231
2020-01-14,1802,494522,5630548,11.35,11.45,11.35,11.35,0.0,237
2020-01-15,1802,945544,10692541,11.35,11.4,11.25,11.3,-0.05,457
2020-01-16,1802,498586,5655444,11.4,11.4,11.3,11.35,0.05,195
2020-01-17,1802,458506,5186189,11.35,11.4,11.25,11.35,0.0,188
2020-01-20,1802,682813,7722222,11.35,11.35,11.25,11.3,-0.05,226
2020-01-30,1802,3872228,41315363,11.05,11.05,10.35,10.35,-0.95,1224
2020-01-31,1802,1399500,14569198,10.35,10.5,10.3,10.4,0.05,405
2020-02-03,1802,1980554,19862166,10.2,10.2,9.93,10.05,-0.35,634
2020-02-04,1802,1207008,12184093,10.05,10.2,9.99,10.15,0.1,472
2020-02-05,1802,1488148,15121262,10.2,10.25,10.05,10.1,-0.05,549
2020-02-06,1802,794900,8182114,10.2,10.35,10.2,10.3,0.2,302
2020-02-07,1802,786000,8016300,10.35,10.35,10.15,10.15,-0.15,304
2020-02-10,1802,960715,9688215,10.05,10.15,10.0,10.05,-0.1,333
2020-02-11,1802,864900,8809618,10.05,10.25,10.05,10.25,0.2,393
2020-02-12,1802,875328,9018369,10.25,10.4,10.25,10.3,0.05,421
2020-02-13,1802,1080582,11158428,10.35,10.4,10.3,10.3,0.0,320
2020-02-14,1802,641772,6599644,10.3,10.35,10.25,10.25,-0.05,237
2020-02-17,1802,614638,6263485,10.25,10.25,10.15,10.15,-0.1,223
2020-02-18,1802,390677,3973418,10.15,10.25,10.15,10.15,0.0,204
2020-02-19,1802,980425,10068925,10.15,10.35,10.15,10.3,0.15,466
2020-02-20,1802,770590,7986221,10.3,10.4,10.3,10.35,0.05,429
2020-02-21,1802,1095559,11408237,10.4,10.5,10.35,10.45,0.1,421
