date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2020-01-02,3605,2318779,71992017,31.3,31.45,30.8,30.9,-0.1,1250
2020-01-03,3605,3062231,93446890,31.25,31.25,29.9,30.7,-0.2,1487
2020-01-06,3605,2032233,61570535,30.4,30.85,30.0,30.4,-0.3,896
2020-01-07,3605,2305354,69365320,30.5,30.85,29.7,29.7,-0.7,1294
2020-01-08,3605,2617591,75994527,29.55,29.55,28.85,28.85,-0.85,1209
2020-01-09,3605,1352402,39618127,29.3,29.7,29.05,29.05,0.2,670
2020-01-10,3605,1791468,53236646,29.45,30.25,29.05,29.6,0.55,1068
2020-01-13,3605,1981000,59965845,30.25,30.7,29.75,30.7,1.1,1031
2020-01-14,3605,1451292,44333395,30.8,30.85,30.4,30.45,-0.25,804
2020-01-15,3605,1157301,35153814,30.6,30.65,30.15,30.15,-0.3,593
2020-01-16,3605,583430,17625485,30.3,30.35,30.1,30.1,-0.05,370
2020-01-17,3605,983179,29910024,30.6,30.7,30.15,30.35,0.25,521
2020-01-20,3605,768430,23333300,30.4,30.6,30.25,30.25,-0.1,420
2020-01-30,3605,2595010,71198650,27.5,27.95,27.25,27.25,-3.0,1200
2020-01-31,3605,1733994,46187779,27.25,27.4,26.0,26.95,-0.3,919
2020-02-03,3605,2370370,60237916,25.5,25.9,24.6,25.75,-1.2,960
2020-02-04,3605,1541573,41380487,26.4,27.3,26.1,27.1,1.35,725
2020-02-05,3605,1025686,28077626,27.6,27.65,26.9,27.3,0.2,507
2020-02-06,3605,759435,21131398,27.8,28.0,27.6,27.8,0.5,438
2020-02-07,3605,898352,24478119,27.8,27.8,27.0,27.0,-0.8,479
2020-02-10,3605,716013,19117101,26.5,27.2,26.2,27.0,0.0,350
2020-02-11,3605,686163,18853675,27.2,27.75,27.15,27.45,0.45,369
2020-02-12,3605,949008,26344364,27.5,28.0,27.45,27.6,0.15,506
2020-02-13,3605,1124125,31301375,27.9,28.15,27.45,27.5,-0.1,633
2020-02-14,3605,547250,15056290,27.25,27.65,27.25,27.55,0.05,417
2020-02-17,3605,626664,17068429,27.15,27.4,27.05,27.25,-0.3,343
2020-02-18,3605,494102,13506327,27.2,27.7,27.15,27.2,-0.05,259
2020-02-19,3605,416036,11357622,27.3,27.4,27.2,27.25,0.05,274
2020-02-20,3605,411072,11292132,27.5,27.7,27.35,27.4,0.15,230
2020-02-21,3605,494274,13466570,27.6,27.6,27.15,27.2,-0.2,344
2020-02-24,3605,690200,18411520,27.1,27.1,26.55,26.7,-0.5,442
2020-02-25,3605,529343,13940185,26.05,26.55,26.0,26.4,-0.3,307
2020-02-26,3605,403986,10611777,26.05,26.65,26.0,26.25,-0.15,246
2020-02-27,3605,1185010,30435580,26.25,26.4,25.2,25.2,-1.05,569
2020-03-02,3605,1132011,28364197,24.8,25.5,24.6,25.1,-0.1,549
2020-03-03,3605,484194,12491622,25.85,26.1,25.5,25.65,0.55,327
2020-03-04,3605,480520,12301777,25.6,26.0,25.25,25.85,0.2,269
2020-03-05,3605,639205,16731248,26.1,26.3,26.0,26.05,0.2,388
2020-03-06,3605,396015,10170120,25.8,25.85,25.55,25.7,-0.35,227
2020-03-09,3605,1193597,29339503,25.15,25.25,24.05,24.1,-1.6,600
2020-03-10,3605,792016,18816766,23.5,24.25,23.4,24.25,0.15,402
2020-03-11,3605,583247,14017399,24.3,24.6,23.65,23.75,-0.5,331
2020-03-12,3605,1535203,34270853,23.35,23.35,21.8,21.9,-1.85,736
2020-03-13,3605,2375152,47337379,20.0,20.5,19.75,20.3,-1.6,958
2020-03-16,3605,1465996,28940870,20.5,20.6,19.1,19.1,-1.2,668
2020-03-17,3605,1120964,20918871,18.15,19.25,18.05,18.75,-0.35,533
2020-03-18,3605,800995,14809957,18.85,19.15,18.0,18.05,-0.7,488
2020-03-19,3605,1853580,30636422,17.7,17.7,16.25,16.25,-1.8,733
2020-03-20,3605,929100,16244174,16.65,17.8,16.65,17.6,1.35,553
2020-03-23,3605,517005,8707195,16.7,17.25,16.2,17.2,-0.4,252
2020-03-24,3605,399012,7227116,17.75,18.4,17.75,18.1,0.9,228
2020-03-25,3605,1344100,26182449,18.85,19.9,18.85,19.6,1.5,633
2020-03-26,3605,803008,15625868,19.85,19.85,19.1,19.55,-0.05,392
2020-03-27,3605,1976286,37838865,19.6,19.7,18.7,18.7,-0.85,900
2020-03-30,3605,555016,10040020,17.85,18.6,17.65,18.6,-0.1,333
2020-03-31,3605,352859,6631851,19.0,19.1,18.5,18.8,0.2,239
2020-04-01,3605,315032,5957461,18.6,19.1,18.6,19.0,0.2,182
2020-04-06,3605,393019,7483511,19.05,19.3,18.75,19.1,0.1,208
2020-04-07,3605,930278,18424986,19.4,20.25,19.35,20.05,0.95,479
2020-04-08,3605,758420,15474093,20.05,20.75,19.9,20.6,0.55,394
2020-04-09,3605,827706,17215300,20.75,21.2,20.45,20.7,0.1,414
2020-04-10,3605,344101,7087881,20.8,20.8,20.3,20.6,-0.1,195
