date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2020-01-02,3312,407871,6682135,16.4,16.45,16.35,16.4,0.05,211
2020-01-03,3312,823810,13487471,16.5,16.6,16.2,16.2,-0.2,354
2020-01-06,3312,314756,5068431,16.15,16.15,16.05,16.05,-0.15,191
2020-01-07,3312,449868,7196491,16.1,16.1,15.9,15.95,-0.1,256
2020-01-08,3312,507498,8051914,15.9,16.05,15.8,15.8,-0.15,267
2020-01-09,3312,281339,4490087,15.9,16.05,15.9,15.95,0.15,135
2020-01-10,3312,739654,11753874,15.95,16.05,15.8,15.95,0.0,299
2020-01-13,3312,344410,5541149,15.95,16.2,15.95,16.15,0.2,198
2020-01-14,3312,505140,8195802,16.2,16.3,16.15,16.15,0.0,196
2020-01-15,3312,258242,4153122,16.15,16.2,16.0,16.0,-0.15,148
2020-01-16,3312,413195,6587601,16.05,16.05,15.9,15.95,-0.05,197
2020-01-17,3312,296505,4748920,16.05,16.05,15.95,16.0,0.05,154
2020-01-20,3312,259652,4151059,16.0,16.05,15.95,16.0,0.0,167
2020-01-30,3312,1441174,21025947,15.05,15.05,14.4,14.4,-1.6,705
2020-01-31,3312,1107494,15645458,14.35,14.55,13.8,14.2,-0.2,530
2020-02-03,3312,1170080,15597467,13.9,13.9,13.0,13.5,-0.7,480
2020-02-04,3312,843615,11733336,13.7,14.15,13.7,14.05,0.55,314
2020-02-05,3312,412291,5870429,14.3,14.35,14.1,14.2,0.15,224
2020-02-06,3312,611940,8921468,14.45,14.7,14.45,14.5,0.3,299
2020-02-07,3312,420708,6070920,14.65,14.65,14.3,14.3,-0.2,213
2020-02-10,3312,348731,4861472,13.8,14.15,13.7,14.0,-0.3,189
2020-02-11,3312,243022,3418608,14.1,14.2,14.0,14.05,0.05,158
2020-02-12,3312,332780,4732886,14.1,14.3,14.1,14.25,0.2,192
2020-02-13,3312,443623,6420761,14.5,14.55,14.4,14.4,0.15,220
2020-02-14,3312,388986,5666333,14.45,14.65,14.45,14.55,0.15,210
2020-02-17,3312,388049,5578038,14.6,14.6,14.3,14.3,-0.25,233
2020-02-18,3312,282071,4044251,14.3,14.5,14.25,14.25,-0.05,156
2020-02-19,3312,226033,3262115,14.4,14.5,14.35,14.4,0.15,145
2020-02-20,3312,302840,4386439,14.5,14.6,14.4,14.5,0.1,154
2020-02-21,3312,1177323,17131593,14.6,14.8,14.3,14.3,-0.2,427
2020-02-24,3312,630062,8844918,14.15,14.15,13.9,14.0,-0.3,302
2020-02-25,3312,565080,7826720,13.8,14.05,13.7,13.85,-0.15,308
2020-02-26,3312,396218,5523454,13.9,14.0,13.9,13.9,0.05,199
2020-02-27,3312,627019,8617935,14.0,14.0,13.5,13.5,-0.4,335
2020-03-02,3312,677056,9067029,13.25,13.7,13.1,13.5,0.0,312
2020-03-03,3312,252282,3501532,13.85,14.05,13.8,13.85,0.35,156
2020-03-04,3312,179037,2459137,13.9,13.9,13.65,13.75,-0.1,116
2020-03-05,3312,298541,4131225,13.75,13.95,13.75,13.85,0.1,170
2020-03-06,3312,225803,3130240,13.8,13.95,13.8,13.9,0.05,135
2020-03-09,3312,423401,5706612,13.8,13.8,13.3,13.3,-0.6,307
2020-03-10,3312,576926,7808620,13.3,13.85,13.2,13.8,0.5,362
2020-03-11,3312,329708,4552875,14.0,14.0,13.55,13.55,-0.25,188
2020-03-12,3312,929361,12003618,13.65,13.65,12.7,12.7,-0.85,461
2020-03-13,3312,1614516,18608325,11.7,11.8,11.45,11.7,-1.0,641
2020-03-16,3312,722178,8552310,11.85,12.05,11.65,11.7,0.0,329
2020-03-17,3312,898900,10118886,11.4,11.7,10.95,11.2,-0.5,393
2020-03-18,3312,602280,6784793,11.6,11.65,11.05,11.05,-0.15,266
2020-03-19,3312,1655785,16660900,10.75,10.8,9.95,9.95,-1.1,584
2020-03-20,3312,824556,8743399,10.2,10.85,10.2,10.75,0.8,357
2020-03-23,3312,299971,3150740,10.3,10.7,10.25,10.55,-0.2,152
2020-03-24,3312,706961,7831906,10.8,11.2,10.8,11.15,0.6,272
2020-03-25,3312,899827,10631343,11.5,11.95,11.5,11.85,0.7,330
2020-03-26,3312,592030,7119309,11.85,12.3,11.75,12.25,0.4,262
2020-03-27,3312,1667750,22011229,13.15,13.35,13.05,13.2,0.95,624
2020-03-30,3312,512675,6715902,13.0,13.3,12.8,13.3,0.1,249
2020-03-31,3312,771550,10360337,13.4,13.5,13.25,13.35,0.05,316
2020-04-01,3312,451240,5997083,13.45,13.45,13.15,13.3,-0.05,216
2020-04-06,3312,497384,6715005,13.3,13.65,13.25,13.6,0.3,272
2020-04-07,3312,644821,8853417,13.8,13.85,13.6,13.7,0.1,268
2020-04-08,3312,683436,9388858,13.65,13.9,13.6,13.7,0.0,257
2020-04-09,3312,820007,11434955,13.8,14.1,13.8,13.95,0.25,304
2020-04-10,3312,599507,8422169,14.1,14.15,13.95,14.1,0.15,252
2020-04-13,3312,679025,9746052,14.2,14.65,14.1,14.35,0.25,351
2020-04-14,3312,658403,9665657,14.6,14.8,14.55,14.8,0.45,309
2020-04-15,3312,579767,8536614,14.9,14.95,14.6,14.75,-0.05,308
2020-04-16,3312,477572,7069733,14.55,15.05,14.5,14.85,0.1,247
2020-04-17,3312,790027,11738281,15.05,15.1,14.6,14.8,-0.05,340
2020-04-20,3312,366374,5415543,14.8,14.9,14.7,14.8,0.0,178
2020-04-21,3312,455060,6657911,14.8,14.8,14.5,14.5,-0.3,214
2020-04-22,3312,746480,10719708,14.4,14.75,14.05,14.6,0.1,233
2020-04-23,3312,394757,5804800,14.6,14.85,14.6,14.7,0.1,165
2020-04-24,3312,564071,8346048,14.7,14.9,14.6,14.8,0.1,196
2020-04-27,3312,759994,11336853,14.95,15.0,14.8,14.95,0.15,239
2020-04-28,3312,341204,5096285,14.95,15.0,14.85,14.95,0.0,130
2020-04-29,3312,585952,8810480,14.95,15.15,14.95,15.1,0.15,203
2020-04-30,3312,573212,8710269,15.3,15.3,15.1,15.2,0.1,209
2020-05-04,3312,422908,6303220,14.75,15.0,14.65,15.0,-0.2,206
2020-05-05,3312,338349,5083785,15.2,15.2,14.9,15.0,0.0,142
2020-05-06,3312,452887,6805997,15.0,15.15,14.9,14.95,-0.05,192
2020-05-07,3312,356764,5376019,15.0,15.15,15.0,15.05,0.1,146
2020-05-08,3312,389494,5883060,15.15,15.2,15.05,15.1,0.05,150
2020-05-11,3312,942158,14457429,15.25,15.55,15.15,15.5,0.4,373
2020-05-12,3312,774533,12048784,15.5,15.75,15.25,15.7,0.2,383
2020-05-13,3312,511601,7941962,15.6,15.65,15.45,15.5,-0.2,232
2020-05-14,3312,937006,14226540,15.4,15.45,15.0,15.0,-0.5,398
2020-05-15,3312,522166,7878106,15.2,15.3,14.95,15.15,0.15,229
2020-05-18,3312,1963642,29446989,15.05,15.05,14.9,15.05,-0.1,257
2020-05-19,3312,564115,8474709,15.15,15.3,14.95,14.95,-0.1,232
2020-05-20,3312,327875,4902333,15.0,15.1,14.9,14.9,-0.05,158
2020-05-21,3312,266438,4012920,14.95,15.15,14.9,15.15,0.25,145
2020-05-22,3312,379000,5724200,15.2,15.2,15.0,15.0,-0.15,184
2020-05-25,3312,292242,4364714,15.1,15.1,14.8,14.95,-0.05,140
2020-05-26,3312,496176,7444340,15.0,15.1,14.95,15.0,0.05,162
2020-05-27,3312,805834,12116060,15.05,15.2,14.9,15.1,0.1,289
