date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2020-01-02,1785,2702000,61001900,22.45,22.75,22.4,22.45,0.0,715
2020-01-03,1785,2699000,61151300,22.6,22.9,22.4,22.6,0.15,1029
2020-01-06,1785,6411000,147329750,22.9,23.15,22.8,22.95,0.35,2370
2020-01-07,1785,4533000,103926500,23.1,23.15,22.6,22.6,-0.35,1829
2020-01-08,1785,6432000,148069850,23.1,23.4,22.6,22.6,0.0,2381
2020-01-09,1785,2299000,51337750,22.5,22.5,22.2,22.2,-0.4,914
2020-01-10,1785,849000,18863250,22.25,22.4,22.1,22.2,0.0,368
2020-01-13,1785,1013000,22503750,22.4,22.45,22.1,22.2,0.0,428
2020-01-14,1785,1440000,31912200,22.25,22.3,22.05,22.2,0.0,357
2020-01-15,1785,698000,15553750,22.4,22.4,22.2,22.35,0.15,327
2020-01-16,1785,1099000,24419300,22.35,22.35,22.15,22.2,-0.15,380
2020-01-17,1785,1087000,24081550,22.2,22.3,22.1,22.2,0.0,333
2020-01-20,1785,618000,13750500,22.25,22.3,22.2,22.25,0.05,289
2020-01-30,1785,3746000,80370350,21.3,22.0,21.15,21.2,-1.05,1024
2020-01-31,1785,1305000,28003600,21.5,21.7,21.4,21.4,0.2,401
2020-02-03,1785,2164000,44260350,21.0,21.0,20.05,20.5,-0.9,707
2020-02-04,1785,2300000,48785450,21.0,21.35,20.95,21.25,0.75,870
2020-02-05,1785,1237000,26099900,21.2,21.2,20.95,21.05,-0.2,472
2020-02-06,1785,1200000,25361950,21.1,21.25,21.05,21.05,0.0,370
2020-02-07,1785,916000,19260450,21.0,21.25,20.85,20.95,-0.1,294
2020-02-10,1785,708000,14701250,20.65,20.95,20.55,20.9,-0.05,286
2020-02-11,1785,712000,15044500,20.95,21.25,20.95,21.15,0.25,242
2020-02-12,1785,793000,16846100,21.15,21.4,21.1,21.25,0.1,246
2020-02-13,1785,1917000,41592700,21.3,21.9,21.3,21.7,0.45,711
2020-02-14,1785,2044000,45355900,21.75,22.4,21.75,22.4,0.7,801
2020-02-17,1785,4072000,91598750,22.9,22.9,22.25,22.25,-0.15,1335
2020-02-18,1785,1242000,27541750,22.25,22.3,22.05,22.2,-0.05,529
2020-02-19,1785,1259000,28099650,22.35,22.5,22.2,22.25,0.05,521
2020-02-20,1785,1146000,25530650,22.45,22.5,22.1,22.2,-0.05,505
2020-02-21,1785,1248000,27783150,22.2,22.4,22.1,22.3,0.1,498
2020-02-24,1785,3590000,80956250,22.55,22.7,22.4,22.4,0.1,1363
2020-02-25,1785,1659000,36843050,22.2,22.45,22.0,22.2,-0.2,612
2020-02-26,1785,1233000,27481750,22.3,22.4,22.2,22.2,0.0,479
2020-02-27,1785,2169000,47846750,22.4,22.4,21.75,21.85,-0.35,572
2020-03-02,1785,1998000,42836550,21.5,21.55,21.15,21.4,-0.45,583
2020-03-03,1785,766000,16656350,21.8,21.85,21.65,21.7,0.3,333
2020-03-04,1785,1101000,23978850,21.85,21.95,21.65,21.65,-0.05,368
2020-03-05,1785,842000,18359450,21.8,21.9,21.65,21.9,0.25,319
2020-03-06,1785,3130000,69899700,21.9,22.6,21.9,22.5,0.6,1147
2020-03-09,1785,3327000,73854150,22.65,22.75,21.55,21.65,-0.85,1313
2020-03-10,1785,1885000,39827900,21.1,21.55,20.95,21.15,-0.5,786
2020-03-11,1785,1264000,27012500,21.3,21.6,21.05,21.2,0.05,439
2020-03-12,1785,3777000,75216500,21.05,21.05,19.15,19.2,-2.0,1349
2020-03-13,1785,5011000,87962900,17.35,18.95,17.3,18.6,-0.6,1493
2020-03-16,1785,1926000,34613400,18.2,18.6,17.5,17.5,-1.1,707
2020-03-17,1785,2446000,40124850,16.2,17.1,16.05,16.2,-1.3,860
2020-03-18,1785,2316000,37076150,16.35,16.65,15.3,15.55,-0.65,693
2020-03-19,1785,4913000,69811750,15.0,15.1,14.0,14.0,-1.55,1260
2020-03-20,1785,2216000,33369600,14.5,15.35,14.5,15.05,1.05,825
2020-03-23,1785,1119000,15968350,14.5,14.5,13.95,14.45,-0.6,396
2020-03-24,1785,1663000,25194250,15.05,15.3,14.95,15.1,0.65,602
2020-03-25,1785,2561000,41433300,16.2,16.3,15.85,16.0,0.9,808
2020-03-26,1785,1107000,17590300,16.3,16.3,15.6,16.0,0.0,474
2020-03-27,1785,1397000,22468500,16.25,16.35,15.8,15.8,-0.2,525
2020-03-30,1785,585000,9193750,15.5,16.0,15.45,15.75,-0.05,284
2020-03-31,1785,941000,14935300,15.85,16.05,15.55,16.05,0.3,320
2020-04-01,1785,663000,10574900,15.95,16.05,15.8,16.05,0.0,258
2020-04-06,1785,1007000,15977100,16.15,16.15,15.75,15.8,-0.25,401
2020-04-07,1785,1520000,24374000,16.1,16.15,15.95,16.1,0.3,541
2020-04-08,1785,2695000,44536250,16.2,16.9,16.1,16.7,0.6,866
2020-04-09,1785,2074000,35666000,17.1,17.5,16.9,17.25,0.55,885
2020-04-10,1785,4367000,78695150,17.15,18.7,17.15,17.95,0.7,1706
2020-04-13,1785,1497000,27347750,18.1,18.4,18.1,18.25,0.3,622
2020-04-14,1785,5969000,115088100,18.75,19.7,18.75,19.05,0.8,2158
2020-04-15,1785,2347000,45428800,19.35,19.7,19.1,19.3,0.25,899
2020-04-16,1785,1313000,25230950,19.2,19.5,18.95,19.15,-0.15,472
2020-04-17,1785,2809000,54854250,19.7,20.0,19.05,19.2,0.05,990
