date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2020-01-02,6187,75000,3103900,41.4,41.5,41.2,41.5,0.1,42
2020-01-03,6187,146000,6066450,41.6,41.8,41.35,41.45,-0.05,76
2020-01-06,6187,108000,4407200,41.05,41.2,40.6,40.65,-0.8,80
2020-01-07,6187,202000,8108050,41.0,41.0,39.5,39.85,-0.8,141
2020-01-08,6187,212000,8276250,39.5,39.6,38.9,39.1,-0.75,143
2020-01-09,6187,216000,8584200,39.0,40.2,39.0,40.15,1.05,125
2020-01-10,6187,253000,10275700,40.1,40.9,40.1,40.85,0.7,174
2020-01-13,6187,138000,5673350,40.5,41.8,40.5,41.0,0.15,96
2020-01-14,6187,102000,4195000,41.45,41.45,41.0,41.1,0.1,70
2020-01-15,6187,264000,11006100,41.1,42.3,41.1,42.0,0.9,197
2020-01-16,6187,374000,15665550,42.0,42.3,41.0,42.2,0.2,231
2020-01-17,6187,547000,23379050,42.7,43.45,42.05,43.3,1.1,322
2020-01-20,6187,1435000,64753050,44.35,46.7,44.2,44.3,1.0,925
2020-01-30,6187,691000,28789150,42.7,42.7,40.6,41.0,-3.3,401
2020-01-31,6187,412000,17251100,41.2,42.4,41.1,41.3,0.3,267
2020-02-03,6187,237000,9510700,40.3,40.9,39.3,40.9,-0.4,165
2020-02-04,6187,232000,9625250,40.95,41.85,40.95,41.7,0.8,158
2020-02-05,6187,125000,5186850,41.7,41.9,41.0,41.3,-0.4,79
2020-02-06,6187,107000,4448650,41.3,41.9,41.3,41.6,0.3,72
2020-02-07,6187,154000,6336500,41.7,41.7,40.8,41.35,-0.25,88
2020-02-10,6187,143000,5807300,40.3,41.25,40.0,40.8,-0.55,92
2020-02-11,6187,80000,3259550,40.1,40.95,40.1,40.9,0.1,44
2020-02-12,6187,127000,5144900,41.2,41.2,40.3,40.8,-0.1,84
2020-02-13,6187,81000,3309150,41.0,41.3,40.6,40.8,0.0,51
2020-02-14,6187,233000,9689350,40.25,43.0,40.25,42.0,1.2,140
2020-02-17,6187,1637000,73286350,42.0,45.6,41.65,44.9,2.9,1064
