date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2020-01-02,2328,757547,17751144,23.4,23.55,23.35,23.45,0.15,413
2020-01-03,2328,2614687,60628547,23.5,23.55,22.9,23.1,-0.35,1099
2020-01-06,2328,2660407,60346030,22.9,22.9,22.55,22.7,-0.4,1108
2020-01-07,2328,1611819,36323573,22.75,22.8,22.4,22.5,-0.2,836
2020-01-08,2328,2013949,44742964,22.35,22.45,22.05,22.15,-0.35,843
2020-01-09,2328,959585,21627382,22.4,22.7,22.35,22.55,0.4,554
2020-01-10,2328,866533,19501435,22.45,22.7,22.4,22.5,-0.05,460
2020-01-13,2328,1140537,25836026,22.65,22.8,22.45,22.7,0.2,561
2020-01-14,2328,1487202,34086945,22.85,23.0,22.8,22.95,0.25,824
2020-01-15,2328,854213,19452690,23.0,23.0,22.65,22.7,-0.25,526
2020-01-16,2328,650980,14802084,22.75,22.8,22.6,22.8,0.1,377
2020-01-17,2328,1456208,33393044,22.9,23.0,22.85,22.95,0.15,611
2020-01-20,2328,748621,17167646,23.0,23.0,22.9,22.95,0.0,368
2020-01-30,2328,4200587,87565036,20.85,21.3,20.7,20.7,-2.25,1802
2020-01-31,2328,2443016,49898666,20.6,20.9,20.0,20.3,-0.4,1081
2020-02-03,2328,2803196,53955681,19.5,19.85,18.8,19.5,-0.8,1297
2020-02-04,2328,1458951,29265070,19.65,20.25,19.65,20.1,0.6,783
2020-02-05,2328,1355177,27267541,20.25,20.35,19.9,20.05,-0.05,720
2020-02-06,2328,3273783,67792121,20.15,21.0,20.15,20.7,0.65,1677
2020-02-07,2328,1224418,24915199,20.65,20.65,20.2,20.25,-0.45,703
2020-02-10,2328,1023891,20451505,19.8,20.2,19.75,20.05,-0.2,529
2020-02-11,2328,808828,16406337,20.3,20.4,20.15,20.35,0.3,472
2020-02-12,2328,1453956,29998871,20.35,20.9,20.35,20.8,0.45,808
2020-02-13,2328,2940959,61565526,21.0,21.05,20.7,20.7,-0.1,1428
2020-02-14,2328,867266,17937311,20.7,20.8,20.55,20.65,-0.05,518
2020-02-17,2328,958820,19624092,20.4,20.6,20.4,20.4,-0.25,596
2020-02-18,2328,1338476,27446035,20.4,20.75,20.3,20.6,0.2,725
2020-02-19,2328,4776315,99864828,20.75,21.05,20.75,20.9,0.3,2153
2020-02-20,2328,1265959,26296035,20.9,20.95,20.6,20.7,-0.2,629
2020-02-21,2328,815468,16874575,20.7,20.8,20.6,20.65,-0.05,360
2020-02-24,2328,2296411,46427444,20.45,20.5,20.1,20.2,-0.45,970
2020-02-25,2328,1286457,25728863,19.7,20.2,19.7,20.1,-0.1,694
2020-02-26,2328,1082516,21679517,19.9,20.15,19.9,20.1,0.0,578
2020-02-27,2328,2653505,52521666,20.15,20.2,19.6,19.6,-0.5,1028
2020-03-02,2328,1028626,20076701,19.2,19.85,19.1,19.6,0.0,605
2020-03-03,2328,1966701,39713835,20.05,20.45,19.95,20.1,0.5,1028
2020-03-04,2328,968820,19312829,20.05,20.1,19.8,19.95,-0.15,488
2020-03-05,2328,827266,16703889,20.15,20.35,20.1,20.1,0.15,441
2020-03-06,2328,1183181,23499553,20.0,20.05,19.8,19.85,-0.25,555
2020-03-09,2328,2489989,48057162,19.65,19.7,19.1,19.1,-0.75,1060
2020-03-10,2328,2033156,37879432,18.0,19.1,18.0,19.1,0.0,783
2020-03-11,2328,1291125,24693138,19.2,19.4,18.8,18.9,-0.2,607
2020-03-12,2328,3249147,58033339,18.6,18.7,17.5,17.7,-1.2,1485
2020-03-13,2328,4408889,70989182,16.15,16.75,15.95,16.55,-1.15,1967
2020-03-16,2328,1864853,30609280,16.85,16.85,16.05,16.3,-0.25,1027
2020-03-17,2328,3638788,58157958,15.6,16.5,15.6,15.8,-0.5,1614
2020-03-18,2328,2275221,36217770,16.0,16.1,15.75,15.95,0.15,1167
2020-03-19,2328,5959435,92311136,16.1,16.2,14.5,15.05,-0.9,2448
2020-03-20,2328,3218343,51000760,15.45,16.3,15.45,15.85,0.8,1504
2020-03-23,2328,1231765,18839857,15.2,15.55,15.05,15.25,-0.6,575
2020-03-24,2328,2295195,36204375,15.9,15.95,15.55,15.7,0.45,1052
2020-03-25,2328,3485996,56887270,16.15,16.6,16.1,16.35,0.65,1527
2020-03-26,2328,2194315,35535728,16.4,16.4,16.0,16.1,-0.25,859
2020-03-27,2328,2363235,38633848,16.4,16.6,16.1,16.15,0.05,940
2020-03-30,2328,1372437,22047816,15.85,16.3,15.75,16.2,0.05,767
2020-03-31,2328,6344166,106070384,16.45,16.9,16.4,16.8,0.6,1997
2020-04-01,2328,5761578,97584133,16.85,17.2,16.65,16.7,-0.1,2511
2020-04-06,2328,2213150,37257249,16.75,17.1,16.5,17.0,0.3,1149
2020-04-07,2328,5476434,96825183,17.45,17.95,17.3,17.75,0.75,2480
2020-04-08,2328,3589528,64398751,17.8,18.2,17.65,18.05,0.3,1557
2020-04-09,2328,2450788,44096719,18.1,18.35,17.75,17.85,-0.2,1131
2020-04-10,2328,2356445,42381426,17.9,18.35,17.7,18.35,0.5,1011
2020-04-13,2328,3655012,66287451,18.65,18.7,17.85,17.85,-0.5,1512
2020-04-14,2328,2222631,40200134,18.05,18.2,18.0,18.05,0.2,979
2020-04-15,2328,3369428,61580407,18.15,18.65,18.05,18.55,0.5,1471
2020-04-16,2328,4218468,78061439,18.35,18.7,18.25,18.5,-0.05,1647
2020-04-17,2328,3036411,56587183,18.8,18.9,18.35,18.35,-0.15,1452
2020-04-20,2328,1190321,21825928,18.4,18.45,18.15,18.4,0.05,523
2020-04-21,2328,2229515,40164371,18.35,18.5,17.75,17.8,-0.6,1163
2020-04-22,2328,1449901,25942566,17.6,18.2,17.45,17.95,0.15,833
2020-04-23,2328,1425861,25912779,18.1,18.35,18.0,18.25,0.3,652
2020-04-24,2328,879621,15999104,18.2,18.25,18.1,18.15,-0.1,483
2020-04-27,2328,2075707,38255400,18.35,18.55,18.25,18.5,0.35,826
2020-04-28,2328,3215923,60396480,18.6,19.0,18.5,18.85,0.35,1388
2020-04-29,2328,2522241,47502458,19.0,19.0,18.7,18.8,-0.05,1004
2020-04-30,2328,2900234,55257396,18.9,19.2,18.9,19.05,0.25,1152
2020-05-04,2328,1657658,30890210,18.55,18.75,18.5,18.75,-0.3,719
2020-05-05,2328,1343171,25094673,18.7,18.85,18.6,18.6,-0.15,654
2020-05-06,2328,1144101,21318675,18.65,18.75,18.55,18.55,-0.05,509
2020-05-07,2328,1849719,34941418,18.6,19.05,18.6,18.95,0.4,886
2020-05-08,2328,4103429,78975008,19.1,19.45,19.0,19.2,0.25,1869
2020-05-11,2328,2507318,48125346,19.2,19.35,19.0,19.3,0.1,970
2020-05-12,2328,1368731,26117189,19.35,19.35,18.9,19.0,-0.3,767
2020-05-13,2328,1348154,25378756,18.8,18.95,18.7,18.85,-0.15,643
2020-05-14,2328,1556971,28911459,18.8,18.85,18.3,18.35,-0.5,823
2020-05-15,2328,1474673,26918407,18.5,18.55,18.0,18.1,-0.25,672
2020-05-18,2328,1057731,19046404,18.0,18.2,17.9,17.9,-0.2,592
2020-05-19,2328,1205925,21772200,18.0,18.15,18.0,18.05,0.15,542
2020-05-20,2328,1068440,19413207,18.05,18.35,18.05,18.05,0.0,541
2020-05-21,2328,633577,11545522,18.1,18.3,18.1,18.25,0.2,360
2020-05-22,2328,1024462,18472978,18.15,18.15,17.95,17.95,-0.3,565
2020-05-25,2328,853978,15301337,18.0,18.15,17.7,18.1,0.15,439
2020-05-26,2328,866197,15770717,18.1,18.3,18.1,18.25,0.15,393
2020-05-27,2328,1159408,21215098,18.3,18.4,18.2,18.25,0.0,501
2020-05-28,2328,1322955,24102923,18.3,18.4,18.05,18.05,-0.2,626
2020-05-29,2328,1541268,27440105,18.05,18.15,17.65,17.65,-0.4,524
2020-06-01,2328,1311424,23685785,17.8,18.2,17.8,18.15,0.5,613
2020-06-02,2328,877631,15997659,18.2,18.35,18.15,18.25,0.1,409
2020-06-03,2328,1492909,27463730,18.35,18.5,18.3,18.4,0.15,716
2020-06-04,2328,1647461,30521872,18.5,18.7,18.4,18.6,0.2,708
2020-06-05,2328,1445499,26952573,18.55,18.75,18.5,18.7,0.1,624
2020-06-08,2328,1579493,29546332,18.8,18.85,18.6,18.65,-0.05,772
2020-06-09,2328,1208018,22412027,18.65,18.65,18.45,18.5,-0.15,562
2020-06-10,2328,869372,16070399,18.55,18.6,18.4,18.45,-0.05,400
2020-06-11,2328,2211838,40759760,18.45,18.65,18.1,18.1,-0.35,976
2020-06-12,2328,1354847,24146950,17.9,17.95,17.6,17.95,-0.15,679
2020-06-15,2328,1014548,18127540,17.95,18.0,17.8,17.8,-0.15,565
2020-06-16,2328,1082174,19452410,17.9,18.05,17.85,18.05,0.25,529
2020-06-17,2328,1111809,20090662,18.1,18.15,18.0,18.05,0.0,619
2020-06-18,2328,1241372,22473209,18.05,18.2,18.0,18.15,0.1,576
2020-06-19,2328,2644544,47851005,18.1,18.3,17.95,17.95,-0.2,767
2020-06-22,2328,1543884,27945192,17.95,18.3,17.95,18.05,0.1,645
2020-06-23,2328,1333352,23969217,18.05,18.05,17.85,18.0,-0.05,627
2020-06-24,2328,3685179,67362770,18.05,18.5,17.95,18.45,0.45,1453
2020-06-29,2328,2909300,52641100,18.25,18.25,17.9,18.0,-0.45,1195
2020-06-30,2328,1522876,27733344,18.1,18.35,18.1,18.15,0.15,652
2020-07-01,2328,6304559,117787761,18.2,18.9,18.2,18.65,0.5,2443
2020-07-02,2328,1817345,33964672,18.8,18.85,18.55,18.7,0.05,808
2020-07-03,2328,5561039,105411913,18.8,19.15,18.7,18.85,0.15,1857
2020-07-06,2328,3943445,75132955,18.85,19.15,18.85,19.1,0.25,1345
2020-07-07,2328,2877272,54171873,19.2,19.25,18.55,18.75,-0.35,1254
2020-07-08,2328,3269347,61538748,18.7,19.15,18.6,19.05,0.3,1403
2020-07-09,2328,2022619,38190931,19.05,19.05,18.7,18.85,-0.2,877
2020-07-10,2328,3768516,70279239,19.0,19.1,18.35,18.35,-0.5,1572
2020-07-13,2328,1858169,34176289,18.4,18.55,18.3,18.4,0.05,754
2020-07-14,2328,1676325,30779641,18.4,18.55,18.3,18.35,-0.05,650
2020-07-15,2328,1288089,23691073,18.45,18.5,18.3,18.35,0.0,525
2020-07-16,2328,1831647,33600035,18.3,18.5,18.25,18.35,0.0,601
