date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2020-01-02,5007,4231657,258003091,55.0,55.0,52.6,52.8,-4.2,403
2020-01-03,5007,129023,6766496,53.0,53.0,51.9,52.1,-0.7,112
2020-01-06,5007,67553,3486298,52.1,52.1,51.3,51.6,-0.5,60
2020-01-07,5007,79548,4082864,51.8,51.8,51.0,51.4,-0.2,68
2020-01-08,5007,28037,1438887,51.3,51.5,51.1,51.3,-0.1,29
2020-01-09,5007,39203,2010672,51.5,51.5,51.1,51.1,-0.2,40
2020-01-10,5007,40165,2057415,51.2,51.5,51.1,51.3,0.2,39
2020-01-13,5007,37238,1911533,51.4,51.4,51.1,51.4,0.1,31
2020-01-14,5007,148003,7603454,51.4,51.4,51.1,51.4,0.0,29
2020-01-15,5007,109519,5628674,51.4,51.5,51.3,51.3,-0.1,20
2020-01-16,5007,35315,1812784,51.5,51.5,51.2,51.5,0.2,27
2020-01-17,5007,18000,922600,51.3,51.3,51.2,51.2,-0.3,15
2020-01-20,5007,79831,4081681,51.2,51.3,51.0,51.0,-0.2,57
2020-01-30,5007,122483,6139433,50.8,50.8,49.3,50.0,-1.0,91
2020-01-31,5007,32100,1606820,50.1,50.3,49.95,50.1,0.1,28
2020-02-03,5007,216160,10717146,49.8,50.1,49.0,50.1,0.0,145
2020-02-04,5007,43368,2161633,49.55,50.0,49.55,50.0,-0.1,37
2020-02-05,5007,64262,3212933,50.2,50.2,49.65,50.2,0.2,38
2020-02-06,5007,71020,3581920,50.1,51.0,50.0,50.5,0.3,69
2020-02-07,5007,93517,4685902,50.8,50.8,49.9,50.2,-0.3,68
2020-02-10,5007,43200,2160940,50.1,50.2,49.65,50.2,0.0,34
2020-02-11,5007,22665,1135850,50.3,50.3,50.0,50.2,0.0,24
2020-02-12,5007,27179,1362067,50.1,50.2,50.0,50.2,0.0,25
2020-02-13,5007,69115,3461173,50.7,50.7,50.0,50.2,0.0,58
2020-02-14,5007,101245,5106899,50.2,50.5,50.1,50.5,0.3,33
2020-02-17,5007,33200,1666319,50.4,50.7,50.0,50.2,-0.3,27
2020-02-18,5007,22729,1138650,50.3,50.3,50.0,50.2,0.0,20
2020-02-19,5007,54000,2706350,50.2,50.4,49.95,50.4,0.2,41
2020-02-20,5007,111803,5592508,50.4,50.4,49.9,50.2,-0.2,67
2020-02-21,5007,33095,1653918,50.0,50.0,49.9,50.0,-0.2,28
2020-02-24,5007,47500,2366448,50.0,50.0,49.6,50.0,0.0,47
2020-02-25,5007,80100,3980180,50.0,50.0,49.4,49.95,-0.05,56
2020-02-26,5007,16100,803640,49.85,49.95,49.85,49.95,0.0,16
2020-02-27,5007,65025,3227380,49.65,49.9,49.5,49.5,-0.45,49
2020-03-02,5007,60180,2968828,49.5,49.65,49.1,49.65,0.15,45
2020-03-03,5007,50020,2476644,49.9,49.9,49.2,49.7,0.05,33
2020-03-04,5007,28050,1389740,49.5,49.7,49.4,49.7,0.0,24
2020-03-05,5007,60425,2989521,49.5,49.7,49.3,49.7,0.0,51
2020-03-06,5007,63619,3136934,49.7,49.75,49.2,49.25,-0.45,62
2020-03-09,5007,144671,7034876,49.2,49.45,48.2,49.0,-0.25,119
2020-03-10,5007,254200,12373539,48.9,50.0,47.95,50.0,1.0,151
2020-03-11,5007,135113,6705216,50.0,50.0,49.05,50.0,0.0,114
2020-03-12,5007,131265,6343753,49.2,49.2,48.0,48.0,-2.0,116
